No,種別/Kind,店名(日本語読み),Name (English),店名(ハングル),ジャンル(日),Cuisine (EN),料理(日),Dishes (EN),犬の同伴,テラス席/Terrace,最寄り駅(日),Nearest station (EN),駅まで(m),広域自治体(日),Region (EN),市郡区(日),City/District (EN),エリア(日),Area (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,位置精度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
1,カフェ/Cafe,ナウィモヤン ソルルンヨク,my shape,나의모양 선릉역,ジェラート・かき氷,Gelato & Ice,カフェ・アイスクリーム,"Cafe, Ice Cream",店内OK / Indoors OK,なし/No,ソンルン（宣陵）,Seolleung,510,ソウル特別市,Seoul,江南区,Gangnam-gu,テチドン,Daechi-dong,서울특별시 강남구 역삼로69길 5 1층 101호,010-4440-4433,,,37.50196,127.053816,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.50196,127.053816",https://map.naver.com/p/search/나의모양%20선릉역%20서울특별시%20강남구%20역삼로69길%205%201층%20101호,https://www.diningcode.com/profile.php?rid=DRr4oS6g6CXY,"카페, 아이스크림"
2,ごはん/Meal,ドラボウル 新沙,Doraboul Sinsajeom,도라보울 신사점,カレー,Curry,スープカレー,"Curry, Soup Curry",店内OK / Indoors OK,なし/No,シンサ（新沙）,Sinsa,720,ソウル特別市,Seoul,江南区,Gangnam-gu,新沙（シンサ）,Sinsa,서울특별시 강남구 논현로175길 101-5 1층,02-6952-7242,,,37.522392,127.021375,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.522392,127.021375",https://map.naver.com/p/search/도라보울%20신사점%20서울특별시%20강남구%20논현로175길%20101-5%201층,https://www.diningcode.com/profile.php?rid=vB5LFBRFURhW,"카레, 스프카레"
3,カフェ/Cafe,トクスアイランド ノンヒョン,Dokseu Island Nonhyeon,독스아일랜드 논현,カフェ・軽食,Cafe & Snacks,,,店内OK / Indoors OK,なし/No,ハクドン（鶴洞）,Hak-dong,290,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 학동로33길 24,,,,37.516231,127.032302,通り単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.516231,127.032302",https://map.naver.com/p/search/독스아일랜드%20논현%20서울특별시%20강남구%20학동로33길%2024,,
4,ごはん/Meal,ロデオラ アプグジョンノデオ,Rodeora Apgujeongnodeo,로데오라 압구정로데오,スペイン料理,Spanish,居酒屋・タパス,"Bar, Tapas",店内OK / Indoors OK,なし/No,アプグジョンロデオ（狎鴎亭）,Apgujeong Rodeo,330,ソウル特別市,Seoul,江南区,Gangnam-gu,シンサドン,Sinsa-dong,서울특별시 강남구 압구정로50길 28 상가 101동 1층 154호,,,,37.526401,127.037392,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.526401,127.037392",https://map.naver.com/p/search/로데오라%20압구정로데오%20서울특별시%20강남구%20압구정로50길%2028%20상가%20101동%201층%20154호,https://www.diningcode.com/profile.php?rid=mrxGnSI6b4Nu,"술집, 타파스"
5,カフェ/Cafe,マムマエンドク カンナムグチョンヨク,Mammaaendok Gangnamgucheongyeok,맘마앤독 강남구청역,カフェ,Cafe,カフェ・手作り,"Cafe, Handmade",店内OK / Indoors OK,なし/No,カンナムグチョン（江南区庁）,Gangnam-gu Office,210,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 선릉로125길 10 1층,02-6487-5803,https://www.instagram.com/mommandog,,37.514924,127.041053,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.514924,127.041053",https://map.naver.com/p/search/맘마앤독%20강남구청역%20서울특별시%20강남구%20선릉로125길%2010%201층,https://www.diningcode.com/profile.php?rid=rR9immnarPqJ,"카페, 핸드메이드"
6,カフェ/Cafe,メスィコーヒー シンサ,Mesh Coffee-24,메쉬커피 신사,コーヒー専門,Specialty Coffee,,,店内OK / Indoors OK,なし/No,シンサ（新沙）,Sinsa,600,ソウル特別市,Seoul,江南区,Gangnam-gu,シンサドン,Sinsa-dong,서울특별시 강남구 도산대로17길 8 1층 101호 메쉬커피,,https://www.instagram.com/mesh_coffee_24hr,,37.519278,127.025035,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.519278,127.025035",https://map.naver.com/p/search/메쉬커피%20신사%20서울특별시%20강남구%20도산대로17길%208%201층%20101호%20메쉬커피,https://www.diningcode.com/profile.php?rid=q8TepJafbQS1,
7,ごはん/Meal,モモコの台所,Momoko Bueok Yangjaecheon,모모코 부엌 양재천,中央アジア料理,Central Asian,ウイグル料理・クリームマッコリ,"Uyghur, Cream Makgeolli",店内OK / Indoors OK,あり/Yes,メボン,Maebong,670,ソウル特別市,Seoul,江南区,Gangnam-gu,良才川（ヤンジェチョン）,Yangjaecheon,서울특별시 강남구 논현로24길 9 1층,,,,37.481579,127.043902,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.481579,127.043902",https://map.naver.com/p/search/모모코%20부엌%20양재천%20서울특별시%20강남구%20논현로24길%209%201층,https://www.diningcode.com/profile.php?rid=2Dpkb2jAorcT,"위구르요리, 크림막걸리"
8,ごはん/Meal,モスガーデン,Moseu Garden Nonhyeon,모스가든 논현,ブランチ,Brunch,ブランチ・洋食レストラン,"Brunch, Restaurant",店内OK / Indoors OK,なし/No,ハクドン（鶴洞）,Hak-dong,370,ソウル特別市,Seoul,江南区,Gangnam-gu,論峴洞（ノンヒョンドン）,Nonhyeon-dong,서울특별시 강남구 논현로139길 12,0507-1489-1988,https://www.instagram.com/moss.garden.official/,,37.51666,127.028371,店舗単位,3.5,14,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.51666,127.028371",https://map.naver.com/p/search/모스가든%20논현%20서울특별시%20강남구%20논현로139길%2012,https://www.diningcode.com/profile.php?rid=z0qgKaBzG0aO,"브런치, 레스토랑"
9,ごはん/Meal,ミミミ シンノンヒョン,Mimimi Sinnonhyeon,미미미 신논현,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,シンノンヒョン（新論峴）,Sinnonhyeon,200,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 강남대로116길 10 5층,02-2135-5515,https://www.instagram.com/mimimi_sinnonhyun,,37.506133,127.024901,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.506133,127.024901",https://map.naver.com/p/search/미미미%20신논현%20서울특별시%20강남구%20강남대로116길%2010%205층,https://www.diningcode.com/profile.php?rid=Dln2GvVVM1BB,
10,カフェ/Cafe,ペリハウンド ヨクサムドン,BERRY HOUND,베리하운드 역삼동,スイーツ,Sweets,デザート・生いちご,"Dessert, Fresh Strawberry",店内OK / Indoors OK,なし/No,ヨクサム（駅三）,Yeoksam,560,ソウル特別市,Seoul,江南区,Gangnam-gu,ヨクサムドン,Yeoksam-dong,서울특별시 강남구 언주로75길 20 1층,,,,37.498531,127.042675,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.498531,127.042675",https://map.naver.com/p/search/베리하운드%20역삼동%20서울특별시%20강남구%20언주로75길%2020%201층,https://www.diningcode.com/profile.php?rid=S4JjhnTnECLw,"디저트, 생딸기"
11,ごはん/Meal,ポンミルガ カンナムグチョンジョム,Bongmilga Gangnamgucheongjeom,봉밀가 강남구청점,麺料理,Noodles,平壌冷麺,Pyongyang Naengmyeon,店内OK / Indoors OK,なし/No,カンナムグチョン（江南区庁）,Gangnam-gu Office,120,ソウル特別市,Seoul,江南区,Gangnam-gu,サムソンドン,Samseong-dong,서울특별시 강남구 선릉로 664 건설빌딩,02-546-2305,https://www.instagram.com/bongmilga_official,,37.515831,127.042031,店舗単位,4.4,60,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.515831,127.042031",https://map.naver.com/p/search/봉밀가%20강남구청점%20서울특별시%20강남구%20선릉로%20664%20건설빌딩,https://www.diningcode.com/profile.php?rid=X4j61Xt53DOZ,평양냉면
12,カフェ/Cafe,プロベルコーヒーロースタリー ヨクサミョク,Beurobel Coffee Roastery Yeoksamyeok,브로벨커피로스터리 역삼역,コーヒー専門,Specialty Coffee,カフェ・自家焙煎カフェ,"Cafe, Roastery Cafe",店内OK / Indoors OK,なし/No,ヨクサム（駅三）,Yeoksam,240,ソウル特別市,Seoul,江南区,Gangnam-gu,ヨクサムドン,Yeoksam-dong,서울특별시 강남구 테헤란로25길 15-10 1층,010-7170-5528,,,37.501782,127.034521,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.501782,127.034521",https://map.naver.com/p/search/브로벨커피로스터리%20역삼역%20서울특별시%20강남구%20테헤란로25길%2015-10%201층,https://www.diningcode.com/profile.php?rid=tHbYlmMVKqNW,"카페, 로스터리카페"
13,カフェ/Cafe,アロハタートル,Allohateoteul Yangjaecheon,알로하터틀 양재천,カフェ,Cafe,アサイーボウル・スムージー,"Cafe, Acai Bowl",店内OK / Indoors OK,なし/No,メボン,Maebong,620,ソウル特別市,Seoul,江南区,Gangnam-gu,良才川（ヤンジェチョン）,Yangjaecheon,"서울특별시 강남구 양재천로 169 지하1층, 지상1층 알로하터틀",070-8672-7945,https://www.instagram.com/alohaturtle_official,,37.481703,127.044928,店舗単位,4,1,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.481703,127.044928","https://map.naver.com/p/search/알로하터틀%20양재천%20서울특별시%20강남구%20양재천로%20169%20지하1층,%20지상1층%20알로하터틀",https://www.diningcode.com/profile.php?rid=nDw2rdGA5gZk,"카페, 아사이볼"
14,ごはん/Meal,ヨンドンポチャナ,Yeongdongpochana Nonhyeondong,영동포차나 논현동,タイ料理,Thai,タイ屋台料理,Thai,店内OK / Indoors OK,なし/No,カンナムグチョン（江南区庁）,Gangnam-gu Office,590,ソウル特別市,Seoul,江南区,Gangnam-gu,論峴洞（ノンヒョンドン）,Nonhyeon-dong,서울특별시 강남구 언주로148길 14 나동 2층 208호,02-518-5130,https://instagram.com/yd.pochana,,37.52063,127.036163,店舗単位,4.5,3,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.52063,127.036163",https://map.naver.com/p/search/영동포차나%20논현동%20서울특별시%20강남구%20언주로148길%2014%20나동%202층%20208호,https://www.diningcode.com/profile.php?rid=bgRRMy8S3FmW,태국음식
15,ごはん/Meal,イェゴオプイ ホンスルバ ノンヒョン,Yegoeopi Honsulba Nonhyeon,예고없이 혼술바 논현,バー・居酒屋,Bar & Pub,,,店内OK / Indoors OK,なし/No,ノンヒョン（論峴）,Nonhyeon,390,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 학동로4길 49 지하1층,,,,37.508403,127.024391,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.508403,127.024391",https://map.naver.com/p/search/예고없이%20혼술바%20논현%20서울특별시%20강남구%20학동로4길%2049%20지하1층,https://www.diningcode.com/profile.php?rid=ebyJcWViNM1j,
16,ごはん/Meal,ワンズドク,Wangseudeok Sinsayeok,왕스덕 신사역,中華,Chinese,北京ダック,Peking Duck,店内OK / Indoors OK,なし/No,シンサ（新沙）,Sinsa,330,ソウル特別市,Seoul,江南区,Gangnam-gu,新沙（シンサ）,Sinsa,서울특별시 강남구 도산대로 130 하림타워 지하 1층,02-540-8524,,,37.517261,127.023025,店舗単位,4,9,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.517261,127.023025",https://map.naver.com/p/search/왕스덕%20신사역%20서울특별시%20강남구%20도산대로%20130%20하림타워%20지하%201층,https://www.diningcode.com/profile.php?rid=iGdOlKB19vcj,베이징덕
17,カフェ/Cafe,チャボイ ノンヒョンドン,CHA.BOEE,차보이 논현동,カフェ,Cafe,カフェ・スイカジュース,"Cafe, Watermelon Juice",店内OK / Indoors OK,なし/No,カンナムグチョン（江南区庁）,Gangnam-gu Office,510,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 도산대로50길 25 1층,,https://www.instagram.com/cha.boee/,,37.520784,127.037791,店舗単位,,0,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.520784,127.037791",https://map.naver.com/p/search/차보이%20논현동%20서울특별시%20강남구%20도산대로50길%2025%201층,https://www.diningcode.com/profile.php?rid=TVw6flx2KxCy,"카페, 수박주스"
18,カフェ/Cafe,カフェ エンバイコン,Cafe Enbaikon Nonhyeonjeom,카페 엔바이콘 논현점,カフェ,Cafe,ブランチ・コーヒー,"Cafe, Brunch",店内OK / Indoors OK,あり/Yes,シンサ（新沙）,Sinsa,330,ソウル特別市,Seoul,江南区,Gangnam-gu,論峴洞（ノンヒョンドン）,Nonhyeon-dong,"서울특별시 강남구 논현로149길 66 지하 1,2층",,,,37.517252,127.022966,店舗単位,4.4,2,一般飲食店,"https://www.google.com/maps/search/?api=1&query=37.517252,127.022966","https://map.naver.com/p/search/카페%20엔바이콘%20논현점%20서울특별시%20강남구%20논현로149길%2066%20지하%201,2층",https://www.diningcode.com/profile.php?rid=SFHZBpEPCyPL,"카페, 브런치"
19,カフェ/Cafe,カフェアムステルダム ハクドンヨク,Cafe Amseutereudam Hakdongyeok,카페암스테르담 학동역,コーヒー専門,Specialty Coffee,コーヒー・カフェ,"Coffee, Cafe",店内OK / Indoors OK,あり/Yes,ハクドン（鶴洞）,Hak-dong,190,ソウル特別市,Seoul,江南区,Gangnam-gu,ノンヒョンドン,Nonhyeon-dong,서울특별시 강남구 학동로31길 13 1층,010-4775-1720,https://www.instagram.com/_cafeamsterdam?igsh=ZGh2cHluZ24ybDRl,,37.515487,127.031733,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.515487,127.031733",https://map.naver.com/p/search/카페암스테르담%20학동역%20서울특별시%20강남구%20학동로31길%2013%201층,https://www.diningcode.com/profile.php?rid=o3e6O1tHCWxv,"커피, 카페"
20,カフェ/Cafe,コーヒーイルリュ ケポジョム,Coffee Illyu Gaepojeom,커피인류 개포점,コーヒー専門,Specialty Coffee,カフェ・コーヒー,"Cafe, Coffee",店内OK / Indoors OK,なし/No,テモサニプグ（大母山入口）,Daemosan,300,ソウル特別市,Seoul,江南区,Gangnam-gu,イルォンドン,Irwon-dong,서울특별시 강남구 영동대로 22,02-6925-0124,,,37.492252,127.075988,店舗単位,,0,軽飲食店,"https://www.google.com/maps/search/?api=1&query=37.492252,127.075988",https://map.naver.com/p/search/커피인류%20개포점%20서울특별시%20강남구%20영동대로%2022,https://www.diningcode.com/profile.php?rid=QW5f2J7f4Bph,"카페, 커피"
