No,種別(日),Type (EN),名称(日本語読み),Name (English),名称(ハングル),ペット可の根拠,広域自治体(日),Region (EN),市郡区(日),City/District (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,評価,口コミ数,Googleマップ,カテゴリ原文(韓)
1,ホテル,Hotel,オバンホテル&コルプ,Eoban Hotel & Golpeu,어반호텔&골프,地図データに明記,ソウル特別市,Seoul,冠岳区,Gwanak-gu,서울 관악구 난곡로64길 5,02-862-6664,,http://pf.kakao.com/_jaxnxan,37.481354,126.914972,4.0,52,"https://www.google.com/maps/search/?api=1&query=37.481354,126.914972",호텔
2,ホテル,Hotel,ロコルスチチ クリエイトタウン ソギョ,Rokeolseutichi Keurieiteo Town Seogyo,로컬스티치 크리에이터타운 서교,地図データに明記,ソウル特別市,Seoul,麻浦区,Mapo-gu,서울 마포구 월드컵북로5길 41,02-332-8601,,https://localstitch.town,37.556264,126.916805,3.0,178,"https://www.google.com/maps/search/?api=1&query=37.556264,126.916805",호텔
3,ホテル,Hotel,レスケイプ ソウル ミョンドン,Reseukeipeu Seoul Myeongdong,레스케이프 서울 명동,地図データに明記,ソウル特別市,Seoul,中区,Jung-gu,서울 중구 퇴계로 67,02-317-4000,,https://les.josunhotel.com/main.do,37.560013,126.979356,3.7,672,"https://www.google.com/maps/search/?api=1&query=37.560013,126.979356",조선호텔
4,ペンション,Pension,カイテク愛犬同伴ペンション,Gaitaek Dog Friendly Pension,가이택애견동반펜션,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 사천면 해안로 720,1833-9306,,,37.81914,128.890416,3.7,10,"https://www.google.com/maps/search/?api=1&query=37.81914,128.890416",펜션
5,ペンション,Pension,カンヌンデンデンイ愛犬ペンションブルー,Gangneungdaengdaengi Dog Pension Blue,강릉댕댕이애견펜션블루,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 연곡면 홍질목길 55-29,010-9487-0723,,https://댕댕이펜션.com/,37.864113,128.843508,,75,"https://www.google.com/maps/search/?api=1&query=37.864113,128.843508",펜션
6,ペンション,Pension,カンヌンサダハムペンション,Gangneungsadaham Pension,강릉사다함펜션,地図データに明記,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 왕산면 방터길 66,010-4009-7421,,,37.64272,128.859932,5.0,11,"https://www.google.com/maps/search/?api=1&query=37.64272,128.859932",펜션
7,ペンション,Pension,キョンポモン愛犬ペンション,Gyeongpomong Dog Pension,경포몽애견펜션,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 하남길 197-15,010-2191-3376,,http://gyeongpomong.co.kr/,37.808109,128.885688,5.0,48,"https://www.google.com/maps/search/?api=1&query=37.808109,128.885688",펜션
8,ペンション,Pension,キョンポコジペンション 愛犬同伴,Gyeongpokoji Pension Dog Friendly,경포코지펜션 애견동반,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 난설헌로219번길 22,010-5894-7753,,http://www.cozypension.co.kr,37.794288,128.913468,4.9,30,"https://www.google.com/maps/search/?api=1&query=37.794288,128.913468",펜션
9,ペンション,Pension,コジュノクハンジュムンペンション,Gojeuneokhanjumun Pension,고즈넉한주문펜션,地図データに明記,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 주문진읍 해안로 1867,,,http://www.고즈넉한주문.com,37.898256,128.834148,4.0,226,"https://www.google.com/maps/search/?api=1&query=37.898256,128.834148",펜션
10,ホテル,Hotel,セイントジョンスホテル,Seinteujonseu Hotel,세인트존스호텔,地図データに明記,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 창해로 307,033-660-9000,,https://new.stjohns.co.kr,37.791255,128.920974,2.8,2714,"https://www.google.com/maps/search/?api=1&query=37.791255,128.920974",호텔
11,ペンション,Pension,スワレ愛犬同伴ペンション,Suwarae Dog Friendly Pension,수와래애견동반펜션,店名から判断,江原特別自治道,Gangwon,カンヌン市,Gangneung-si,강원특별자치도 강릉시 사천면 순포안길 24,1833-9306,,http://suwarae.kr,37.821907,128.883474,4.5,23,"https://www.google.com/maps/search/?api=1&query=37.821907,128.883474",펜션
