No,種別,店名(日本語読み),店名(ハングル),ジャンル,料理の詳細,犬の同伴,テラス席,エリア(日),エリア(韓),区,住所(ハングル),緯度,経度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
1,レストラン,ヌメロドス,누메로도스 성수,イタリアン,薪窯ピザ・マスカルポーネピザ,店内OK,なし,聖水（ソンス）,성수,城東区,서울특별시 성동구 상원1길 35-9,37.5463758,127.0473386,4.2,53,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5463758%2C127.0473386,https://map.naver.com/p/search/%EB%88%84%EB%A9%94%EB%A1%9C%EB%8F%84%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%83%81%EC%9B%901%EA%B8%B8%2035-9,https://www.diningcode.com/profile.php?rid=4Pm4ParsyhZX,"화덕피자, 마스카포네피자"
2,レストラン,ルベジワン,르베지왕 성수,カレー・サラダ,スパイスカレー、サラダボウル,店内OK,なし,聖水（ソンス）,성수,城東区,서울특별시 성동구 연무장1길 15-1 1층,37.5444893,127.0511271,4.7,16,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5444893%2C127.0511271,https://map.naver.com/p/search/%EB%A5%B4%EB%B2%A0%EC%A7%80%EC%99%95%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%97%B0%EB%AC%B4%EC%9E%A51%EA%B8%B8%2015-1%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=5upIL7dm99V5,"샐러드, 카레"
3,レストラン,オンリュ,온류 서울숲,韓国料理,モダン韓定食・フュージョン韓食,店内OK,あり,ソウルの森,서울숲,城東区,서울특별시 성동구 서울숲2길 14-8 2층,37.5471073,127.0400371,4.1,6,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5471073%2C127.0400371,https://map.naver.com/p/search/%EC%98%A8%EB%A5%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%9C%EC%9A%B8%EC%88%B22%EA%B8%B8%2014-8%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=ulTH0VrtgFc1,"퓨전한식, 한식다이닝"
4,レストラン,フレーバータウン,플레이버타운 서울숲,アジア料理,タイ・東南アジア系プレート,店内OK,あり,ソウルの森,서울숲,城東区,서울특별시 성동구 서울숲4길 18-7 1층,37.5469832,127.0429156,4.4,10,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5469832%2C127.0429156,https://map.naver.com/p/search/%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B2%84%ED%83%80%EC%9A%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%9C%EC%9A%B8%EC%88%B24%EA%B8%B8%2018-7%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=Cq8VW8Cf7zVh,아시안요리
5,レストラン,ヴィラドブルー聖水,빌라드블루 성수 서울숲,イタリアン,パスタ・ブランチ,店内OK,あり,ソウルの森,서울숲,城東区,서울특별시 성동구 서울숲2길 46-10 1층,37.5461607,127.0434999,4.5,4,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5461607%2C127.0434999,https://map.naver.com/p/search/%EB%B9%8C%EB%9D%BC%EB%93%9C%EB%B8%94%EB%A3%A8%20%EC%84%B1%EC%88%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%9C%EC%9A%B8%EC%88%B22%EA%B8%B8%2046-10%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=lNilc6wX2hED,"파스타, 브런치"
6,レストラン,レッツイートチキン,레츠잇치킨 성수,チキン,フライドチキン・チキンバーガー,店内OK,あり,聖水（ソンス）,성수,城東区,서울특별시 성동구 왕십리로4길 12 1층,37.5458643,127.0459858,5,5,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5458643%2C127.0459858,https://map.naver.com/p/search/%EB%A0%88%EC%B8%A0%EC%9E%87%EC%B9%98%ED%82%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%99%95%EC%8B%AD%EB%A6%AC%EB%A1%9C4%EA%B8%B8%2012%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=DwhVoJv6Cmjy,"치킨, 치킨버거"
7,レストラン,マイヅル,마이즈루 성수,居酒屋,居酒屋料理・アサヒ生ビール,店内OK,なし,聖水（ソンス）,성수,城東区,서울특별시 성동구 성덕정17길 7-1 1층 마이즈루,37.5379102,127.0552104,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5379102%2C127.0552104,https://map.naver.com/p/search/%EB%A7%88%EC%9D%B4%EC%A6%88%EB%A3%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EC%84%B1%EB%8D%95%EC%A0%9517%EA%B8%B8%207-1%201%EC%B8%B5%20%EB%A7%88%EC%9D%B4%EC%A6%88%EB%A3%A8,https://www.diningcode.com/profile.php?rid=Mi6UKQ4IqHrP,"이자카야, 아사히생맥주"
8,レストラン,23プラッター,23플래터 홍대,イタリアン,パスタ・洋食プレート,店内OK,なし,弘大（ホンデ）,홍대,麻浦区,서울특별시 마포구 잔다리로3안길 36 1층 23플래터,37.5504806,126.9193937,4.8,14,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5504806%2C126.9193937,https://map.naver.com/p/search/23%ED%94%8C%EB%9E%98%ED%84%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%9E%94%EB%8B%A4%EB%A6%AC%EB%A1%9C3%EC%95%88%EA%B8%B8%2036%201%EC%B8%B5%2023%ED%94%8C%EB%9E%98%ED%84%B0,https://www.diningcode.com/profile.php?rid=gHUQLcy5Qwa4,"파스타, 레스토랑"
9,レストラン,オルノ 合井店,오르노 합정점,イタリアン,薪窯ピザ,店内OK,なし,合井（ハプチョン）,합정,麻浦区,"서울특별시 마포구 월드컵로3길 14 딜라이트스퀘어2차 지1층 B113호, 114호",37.5509322,126.9118087,4,9,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5509322%2C126.9118087,https://map.naver.com/p/search/%EC%98%A4%EB%A5%B4%EB%85%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EC%9B%94%EB%93%9C%EC%BB%B5%EB%A1%9C3%EA%B8%B8%2014%20%EB%94%9C%EB%9D%BC%EC%9D%B4%ED%8A%B8%EC%8A%A4%ED%80%98%EC%96%B42%EC%B0%A8%20%EC%A7%801%EC%B8%B5%20B113%ED%98%B8%2C%20114%ED%98%B8,https://www.diningcode.com/profile.php?rid=tvk9xFWmat5W,화덕피자
10,レストラン,ディエム 合井,디엠 합정,バー,カクテルバー,店内OK,なし,合井（ハプチョン）,합정,麻浦区,서울 마포구 독막로3길 29 반지층 1층 디엠,37.5496866,126.9170945,4.1,12,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5496866%2C126.9170945,https://map.naver.com/p/search/%EB%94%94%EC%97%A0%20%EC%84%9C%EC%9A%B8%20%EB%A7%88%ED%8F%AC%EA%B5%AC%20%EB%8F%85%EB%A7%89%EB%A1%9C3%EA%B8%B8%2029%20%EB%B0%98%EC%A7%80%EC%B8%B5%201%EC%B8%B5%20%EB%94%94%EC%97%A0,https://www.diningcode.com/profile.php?rid=WDfswSAmzXhq,"칵테일, 칵테일바"
