No,種別/Kind,店名(日本語読み),Name (English),店名(ハングル),ジャンル(日),Cuisine (EN),料理(日),Dishes (EN),犬の同伴,テラス席/Terrace,エリア(日),Area (EN),区(日),District (EN),住所(ハングル),緯度,経度,位置精度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
1,ごはん/Meal,ピザエクスプレス,Pizza Express Garosugil,피자익스프레스 가로수길,ピザ,Pizza,ピザ,"Pizza, Pizzeria",店内OK / Indoors OK,なし/No,カロスキル（カロスギル）,Garosu-gil,江南区,Gangnam-gu,서울특별시 강남구 압구정로10길 28 지하1층,37.5218105,127.0219646,店舗単位,4.2,13,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5218105%2C127.0219646,https://map.naver.com/p/search/%ED%94%BC%EC%9E%90%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%20%EA%B0%80%EB%A1%9C%EC%88%98%EA%B8%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%95%EA%B5%AC%EC%A0%95%EB%A1%9C10%EA%B8%B8%2028%20%EC%A7%80%ED%95%981%EC%B8%B5,https://www.diningcode.com/profile.php?rid=KscONk1BrLxf,"피자, 피자집"
2,カフェ/Cafe,トクスアイランド ノンヒョン,Dokseu Island Nonhyeon,독스아일랜드 논현,カフェ・軽食,Cafe & Snacks,,,店内OK / Indoors OK,なし/No,ノンヒョンドン,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 학동로33길 24,37.5162309,127.0323023,通り単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5162309%2C127.0323023,https://map.naver.com/p/search/%EB%8F%85%EC%8A%A4%EC%95%84%EC%9D%BC%EB%9E%9C%EB%93%9C%20%EB%85%BC%ED%98%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%ED%95%99%EB%8F%99%EB%A1%9C33%EA%B8%B8%2024,,
3,カフェ/Cafe,マムマエンドク カンナムグチョンヨク,Mammaaendok Gangnamgucheongyeok,맘마앤독 강남구청역,カフェ,Cafe,カフェ・手作り,"Cafe, Handmade",店内OK / Indoors OK,なし/No,ノンヒョンドン,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 선릉로125길 10 1층,37.514924,127.0410529,店舗単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.514924%2C127.0410529,https://map.naver.com/p/search/%EB%A7%98%EB%A7%88%EC%95%A4%EB%8F%85%20%EA%B0%95%EB%82%A8%EA%B5%AC%EC%B2%AD%EC%97%AD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%84%A0%EB%A6%89%EB%A1%9C125%EA%B8%B8%2010%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=rR9immnarPqJ,"카페, 핸드메이드"
4,ごはん/Meal,モスガーデン,Moseu Garden Nonhyeon,모스가든 논현,ブランチ,Brunch,ブランチ・洋食レストラン,"Brunch, Restaurant",店内OK / Indoors OK,なし/No,論峴洞（ノンヒョンドン）,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 논현로139길 12,37.5166598,127.0283711,店舗単位,3.5,14,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5166598%2C127.0283711,https://map.naver.com/p/search/%EB%AA%A8%EC%8A%A4%EA%B0%80%EB%93%A0%20%EB%85%BC%ED%98%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C139%EA%B8%B8%2012,https://www.diningcode.com/profile.php?rid=z0qgKaBzG0aO,"브런치, 레스토랑"
5,ごはん/Meal,ミミミ シンノンヒョン,Mimimi Sinnonhyeon,미미미 신논현,レストラン,Restaurant,,,店内OK / Indoors OK,なし/No,ノンヒョンドン,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 강남대로116길 10 5층,37.5061328,127.0249011,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5061328%2C127.0249011,https://map.naver.com/p/search/%EB%AF%B8%EB%AF%B8%EB%AF%B8%20%EC%8B%A0%EB%85%BC%ED%98%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EA%B0%95%EB%82%A8%EB%8C%80%EB%A1%9C116%EA%B8%B8%2010%205%EC%B8%B5,https://www.diningcode.com/profile.php?rid=Dln2GvVVM1BB,
6,ごはん/Meal,ヨンドンポチャナ,Yeongdongpochana Nonhyeondong,영동포차나 논현동,タイ料理,Thai,タイ屋台料理,Thai,店内OK / Indoors OK,なし/No,論峴洞（ノンヒョンドン）,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 언주로148길 14 나동 2층 208호,37.5206302,127.0361626,店舗単位,4.5,3,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5206302%2C127.0361626,https://map.naver.com/p/search/%EC%98%81%EB%8F%99%ED%8F%AC%EC%B0%A8%EB%82%98%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%96%B8%EC%A3%BC%EB%A1%9C148%EA%B8%B8%2014%20%EB%82%98%EB%8F%99%202%EC%B8%B5%20208%ED%98%B8,https://www.diningcode.com/profile.php?rid=bgRRMy8S3FmW,태국음식
7,ごはん/Meal,イェゴオプイ ホンスルバ ノンヒョン,Yegoeopi Honsulba Nonhyeon,예고없이 혼술바 논현,バー・居酒屋,Bar & Pub,,,店内OK / Indoors OK,なし/No,ノンヒョンドン,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 학동로4길 49 지하1층,37.5084029,127.0243908,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5084029%2C127.0243908,https://map.naver.com/p/search/%EC%98%88%EA%B3%A0%EC%97%86%EC%9D%B4%20%ED%98%BC%EC%88%A0%EB%B0%94%20%EB%85%BC%ED%98%84%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%ED%95%99%EB%8F%99%EB%A1%9C4%EA%B8%B8%2049%20%EC%A7%80%ED%95%981%EC%B8%B5,https://www.diningcode.com/profile.php?rid=ebyJcWViNM1j,
8,カフェ/Cafe,チャボイ ノンヒョンドン,CHA.BOEE,차보이 논현동,カフェ,Cafe,カフェ・スイカジュース,"Cafe, Watermelon Juice",店内OK / Indoors OK,なし/No,ノンヒョンドン,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 도산대로50길 25 1층,37.5207843,127.0377911,店舗単位,,0,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5207843%2C127.0377911,https://map.naver.com/p/search/%EC%B0%A8%EB%B3%B4%EC%9D%B4%20%EB%85%BC%ED%98%84%EB%8F%99%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%8F%84%EC%82%B0%EB%8C%80%EB%A1%9C50%EA%B8%B8%2025%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=TVw6flx2KxCy,"카페, 수박주스"
9,カフェ/Cafe,カフェ エンバイコン,Cafe Enbaikon Nonhyeonjeom,카페 엔바이콘 논현점,カフェ,Cafe,ブランチ・コーヒー,"Cafe, Brunch",店内OK / Indoors OK,あり/Yes,論峴洞（ノンヒョンドン）,Nonhyeon-dong,江南区,Gangnam-gu,"서울특별시 강남구 논현로149길 66 지하 1,2층",37.5172519,127.0229663,店舗単位,4.4,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5172519%2C127.0229663,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EC%97%94%EB%B0%94%EC%9D%B4%EC%BD%98%20%EB%85%BC%ED%98%84%EC%A0%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C149%EA%B8%B8%2066%20%EC%A7%80%ED%95%98%201%2C2%EC%B8%B5,https://www.diningcode.com/profile.php?rid=SFHZBpEPCyPL,"카페, 브런치"
10,カフェ/Cafe,カフェアムステルダム ハクドンヨク,Cafe Amseutereudam Hakdongyeok,카페암스테르담 학동역,コーヒー専門,Specialty Coffee,コーヒー・カフェ,"Coffee, Cafe",店内OK / Indoors OK,あり/Yes,ノンヒョンドン,Nonhyeon-dong,江南区,Gangnam-gu,서울특별시 강남구 학동로31길 13 1층,37.5154868,127.0317326,店舗単位,,0,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5154868%2C127.0317326,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%EC%95%94%EC%8A%A4%ED%85%8C%EB%A5%B4%EB%8B%B4%20%ED%95%99%EB%8F%99%EC%97%AD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%ED%95%99%EB%8F%99%EB%A1%9C31%EA%B8%B8%2013%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=o3e6O1tHCWxv,"커피, 카페"
