No,種別(日),Type (EN),名称(日本語読み),Name (English),名称(ハングル),24時間,市郡区(日),District (EN),住所(ハングル),電話,Instagram,公式サイト,緯度,経度,評価,口コミ数,Googleマップ,カテゴリ原文(韓)
1,動物病院,Veterinary clinic,24時間SNC動物メディカルセンター,24h SNC Animal Medical Center,24시SNC동물메디컬센터,はい/Yes,江南区,Gangnam-gu,서울 강남구 논현로 416,02-562-7582,,http://blog.naver.com/sncamc,37.497405,127.038847,4.6,155,"https://www.google.com/maps/search/?api=1&query=37.497405,127.038847",동물병원
2,動物病院,Veterinary clinic,24時間オンスプ動物医療センター,24 Sionsup Animal Medical Center,24시온숲동물의료센터,はい/Yes,江南区,Gangnam-gu,서울 강남구 도곡로 241,02-6951-5324,,https://blog.naver.com/onsoop24,37.493936,127.04487,,210,"https://www.google.com/maps/search/?api=1&query=37.493936,127.04487",동물병원
3,動物病院,Veterinary clinic,24時間チョンダムリ動物病院,24 Sicheongdamuri Animal Hospital,24시청담우리동물병원,はい/Yes,江南区,Gangnam-gu,서울 강남구 삼성로 614,02-541-7515,,http://www.chungdamah.co.kr,37.514493,127.052855,,377,"https://www.google.com/maps/search/?api=1&query=37.514493,127.052855",동물병원
4,動物病院,Veterinary clinic,OK動物病院,OK Animal Hospital,OK동물병원,,江南区,Gangnam-gu,서울 강남구 도곡로51길 4,02-569-7582,,http://www.okamc.co.kr,37.495562,127.049818,5.0,2,"https://www.google.com/maps/search/?api=1&query=37.495562,127.049818",동물병원
5,動物病院,Veterinary clinic,VIP動物医療センター チョンダムジョム,VIP Animal Medical Center Cheongdamjeom,VIP동물의료센터 청담점,,江南区,Gangnam-gu,서울 강남구 삼성로133길 7,02-511-7522,,http://www.vipah.co.kr,37.519419,127.04906,,237,"https://www.google.com/maps/search/?api=1&query=37.519419,127.04906",동물병원
6,動物病院,Veterinary clinic,VIP動物ハンバンジェファルィハクセンターby Drシンサギョン,VIP Animal Hanbangjaehwaruihak Center by Dr Sinsagyeong,VIP동물한방재활의학센터by Dr신사경,,江南区,Gangnam-gu,서울 강남구 삼성로133길 7,0503-7153-0350,http://instagram.com/vip_ani_acupuncture_rehab,,37.519441,127.04903,,160,"https://www.google.com/maps/search/?api=1&query=37.519441,127.04903",동물병원
7,動物病院,Veterinary clinic,カロス動物病院,Garosu Animal Hospital,가로수동물병원,,江南区,Gangnam-gu,서울 강남구 압구정로 134,02-549-7579,,https://blog.naver.com/garosuah,37.524421,127.023582,,47,"https://www.google.com/maps/search/?api=1&query=37.524421,127.023582",동물병원
8,動物病院,Veterinary clinic,カンナム25シ動物病院,Gangnam 25 Si Animal Hospital,강남25시동물병원,,江南区,Gangnam-gu,서울 강남구 학동로 235,02-545-8575,,,37.51559,127.035009,3.6,3,"https://www.google.com/maps/search/?api=1&query=37.51559,127.035009",동물병원
9,動物病院,Veterinary clinic,カンナムダオン動物病院,Gangnamdaon Animal Hospital,강남다온동물병원,,江南区,Gangnam-gu,서울 강남구 도곡로 174,02-576-1239,,,37.491332,127.038478,4.0,68,"https://www.google.com/maps/search/?api=1&query=37.491332,127.038478",동물병원
10,動物病院,Veterinary clinic,カンナム動物病院,Gangnam Animal Hospital,강남동물병원,,江南区,Gangnam-gu,서울 강남구 봉은사로 205,02-514-7582,,,37.507766,127.034472,4.3,3,"https://www.google.com/maps/search/?api=1&query=37.507766,127.034472",동물병원
11,動物病院,Veterinary clinic,カンナミェチグァ動物病院,Gangnamyechigwa Animal Hospital,강남예치과동물병원,,江南区,Gangnam-gu,서울 강남구 선릉로126길 6,02-517-5585,,,37.515157,127.042634,5.0,51,"https://www.google.com/maps/search/?api=1&query=37.515157,127.042634",동물병원
12,動物病院,Veterinary clinic,ケポ動物病院,Gaepo Animal Hospital,개포동물병원,,江南区,Gangnam-gu,서울 강남구 개포로 512,02-3412-7582,,,37.489307,127.068843,3.7,1,"https://www.google.com/maps/search/?api=1&query=37.489307,127.068843",동물병원
13,動物病院,Veterinary clinic,ケポビョルビッ動物病院,Gaepobyeolbit Animal Hospital,개포별빛동물병원,,江南区,Gangnam-gu,서울 강남구 논현로 70,02-573-7582,,https://blog.naver.com/starlightah,37.476448,127.046311,4.4,2,"https://www.google.com/maps/search/?api=1&query=37.476448,127.046311",동물병원
14,動物病院,Veterinary clinic,コリョジョンハプ動物病院,Goryeojonghap Animal Hospital,고려종합동물병원,,江南区,Gangnam-gu,서울 강남구 선릉로 225,02-575-7999,,,37.49545,127.052932,3.5,2,"https://www.google.com/maps/search/?api=1&query=37.49545,127.052932",동물병원
15,動物病院,Veterinary clinic,コリョジュンハプ動物病院,Goryeojunghap Animal Hospital,고려중합동물병원,,江南区,Gangnam-gu,서울 강남구 선릉로 225,02-575-7999,,,37.495365,127.05272,,0,"https://www.google.com/maps/search/?api=1&query=37.495365,127.05272",동물병원
16,動物病院,Veterinary clinic,クンモニン動物病院,Gunmoning Animal Hospital,굿모닝동물병원,,江南区,Gangnam-gu,서울 강남구 학동로 413,,,,37.518241,127.045075,5.0,1,"https://www.google.com/maps/search/?api=1&query=37.518241,127.045075",동물병원
17,動物病院,Veterinary clinic,クレイ動物病院 カンナムジョム,Geurei Animal Hospital Gangnamjeom,그레이동물병원 강남점,,江南区,Gangnam-gu,서울 강남구 언주로30길 21,02-529-7587,,https://blog.naver.com/grey0303,37.488869,127.052014,2.8,1,"https://www.google.com/maps/search/?api=1&query=37.488869,127.052014",동물병원
18,動物病院,Veterinary clinic,クレイスゴヤンイ病院,Geureiseugoyangi Clinic,그레이스고양이병원,,江南区,Gangnam-gu,서울 강남구 선릉로152길 17,0507-1395-5569,,https://www.gracecat.co.kr,37.524345,127.040892,3.7,374,"https://www.google.com/maps/search/?api=1&query=37.524345,127.040892",동물병원
19,動物病院,Veterinary clinic,ナリウル動物病院,Nariul Animal Hospital,나리울동물병원,,江南区,Gangnam-gu,서울 강남구 영동대로 22,02-423-5755,,,37.492193,127.075813,,12,"https://www.google.com/maps/search/?api=1&query=37.492193,127.075813",동물병원
20,動物病院,Veterinary clinic,ナウン動物病院,Naeun Animal Hospital,나은동물병원,,江南区,Gangnam-gu,서울 강남구 개포로 243,,,http://blog.naver.com/naeun-ah,37.479143,127.049131,3.2,1,"https://www.google.com/maps/search/?api=1&query=37.479143,127.049131",동물병원
21,動物病院,Veterinary clinic,ネグァ動物病院 ルミナ,Naegwa Animal Hospital Rumina,내과동물병원 루미나,,江南区,Gangnam-gu,서울 강남구 선릉로 340,02-558-0275,,https://blog.naver.com/luminar_internist,37.500186,127.051377,,95,"https://www.google.com/maps/search/?api=1&query=37.500186,127.051377",동물병원
22,動物病院,Veterinary clinic,ノンヒョン動物病院,Nonhyeon Animal Hospital,논현동물병원,,江南区,Gangnam-gu,서울 강남구 강남대로118길 47,02-3442-3785,,https://blog.naver.com/nonhyeon3785,37.507492,127.026828,4.6,59,"https://www.google.com/maps/search/?api=1&query=37.507492,127.026828",동물병원
23,動物病院,Veterinary clinic,ノルロ 動物ヘンドン クルリニク,Nollo Animal Haengdong Keullinik,놀로 동물행동 클리닉,,江南区,Gangnam-gu,서울 강남구 삼성로133길 7,070-8652-0585,,http://www.knollo.co.kr,37.519472,127.048985,,0,"https://www.google.com/maps/search/?api=1&query=37.519472,127.048985",동물병원
24,動物病院,Veterinary clinic,ヌルソウルピブグァ動物病院,Neulseoulpibugwa Animal Hospital,늘서울피부과동물병원,,江南区,Gangnam-gu,서울 강남구 논현로 607,02-518-3650,,,37.507901,127.033314,,0,"https://www.google.com/maps/search/?api=1&query=37.507901,127.033314",동물병원
25,動物病院,Veterinary clinic,タラン動物病院,Darang Animal Hospital,다랑동물병원,,江南区,Gangnam-gu,서울 강남구 삼성로 11,02-577-7579,,,37.485683,127.067211,4.6,1,"https://www.google.com/maps/search/?api=1&query=37.485683,127.067211",동물병원
26,動物病院,Veterinary clinic,テチ動物メディカルセンター,Daechi Animal Medical Center,대치동물메디컬센터,,江南区,Gangnam-gu,서울 강남구 도곡로 520,02-501-8275,,https://www.muruben-daechi.com/home,37.499378,127.063454,,53,"https://www.google.com/maps/search/?api=1&query=37.499378,127.063454",동물병원
